[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Painkiller (837/1), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Final Flying Form (840/1), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Fallen Arrow (1431/6), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Increase Power (1432/2), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Abyssal Blaze (1433/10), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Dark Explosion (1434/4), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Death Mark (1435/2), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Soul of Pain (1436/30), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Dark Flame (1437/26), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Annihilation Circle (1438/9), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Curse of Divinity (1439/5), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Steal Divinity (1440/5), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Soul to Empower (1441/3), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Darkness Protection (1442/3), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Dark Weapon (1443/1), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Pride of Kamael (1444/1), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Surrender to Dark (1445/3), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Shadow Bind (1446/11), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Voice Bind (1447/9), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Blink (1448/1), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Change Weapon (1473/1), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Abyssal Power (1474/1), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Erase Mark (1475/1), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Soul Cleanse (1510/1), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Curse of Life Flow (1511/8), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Soul Barrier (1514/3), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:46] AUDIT:Player Nerfyo has invalid skill Expert Casting (1527/3), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:46] AUDIT:Player Nerfyo has invalid skill Soul Web (1529/7), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
